price,year,kilometers,fuel,engine_size
149900,2023,25000,Benzyna,1498
10500,2023,331000,Diesel,1968
29600,2023,65500,Benzyna,1198
16499,2023,187000,Diesel,1896
109799,2023,72200,Benzyna,1395
8500,2023,205000,Benzyna,1781
28000,2023,192000,Diesel,1968
119000,2023,124000,Diesel,1968
22899,2023,225146,Diesel,1598
29900,2023,134550,Benzyna,1390
36500,2023,198500,Benzyna,1798
69800,2023,136000,Diesel,1968
31999,2023,72670,Benzyna,1390
59900,2023,102000,Benzyna,1395
251700,2023,6,Benzyna,1984
251700,2023,6,Benzyna,1984
41900,2023,184900,Benzyna,1984
25000,2023,230000,Diesel,1968
224700,2023,6,Benzyna,1984
12700,2023,115000,Benzyna,1198
71500,2023,232323,Diesel,1968
40900,2023,179458,Diesel,1598
4999,2023,397000,Diesel,1896
56900,2023,214123,Diesel,1968
82700,2023,103000,Diesel,1968
31500,2023,190000,Diesel,1598
157500,2023,49473,Benzyna,1395
27000,2023,242000,Diesel,1968
25500,2023,221678,Diesel,1990
15900,2023,225000,Diesel,1896
53500,2023,83200,Benzyna,999
51900,2023,68800,Benzyna,999
8880,2023,223500,Benzyna,1984
173900,2023,183000,Diesel,1968
20000,2023,301000,Diesel,1968
41500,2023,122319,Benzyna,1798
438500,2023,1,Benzyna,2995
122900,2023,99990,Benzyna,1984
21500,2023,325000,Diesel,1968
23500,2023,105500,Benzyna,999
15900,2023,214618,Diesel,1896
17900,2023,299000,Diesel,1896
8500,2023,357654,Diesel,1896
41900,2023,354000,Diesel,2461
23800,2023,173840,Benzyna,1390
169999,2023,56323,Benzyna,1984
128500,2023,34389,Benzyna,1498
98277,2023,203000,Diesel,1968
416000,2023,1,Diesel,1968
14500,2023,416000,Diesel,1968
209900,2023,169800,Diesel,1968
162220,2023,,Benzyna,1498
150500,2023,,Benzyna,1498
46500,2023,159800,Diesel,1968
66600,2023,375000,Diesel,2461
8610,2023,200000,Diesel,4921
109900,2023,5,Benzyna,999
39700,2023,96000,Benzyna,1390
87800,2023,127000,Benzyna,1395
26600,2023,231787,Diesel,1598
38900,2023,216784,Diesel,2967
40900,2023,193000,Diesel,1968
178999,2023,206120,Diesel,1968
123200,2023,5,Benzyna,999
236700,2023,6,Benzyna,1984
114200,2023,5,Benzyna,999
118900,2023,185000,Benzyna,1984
196900,2023,,Benzyna,1984
147600,2023,100089,Diesel,1968
70900,2023,122000,Diesel,1598
79900,2023,137500,Diesel,1968
20499,2023,195300,Diesel,1896
37999,2023,248700,Diesel,1968
47999,2023,163900,Diesel,1598
68990,2023,207338,Diesel,1598
233900,2023,5,Benzyna,1984
230932,2023,8,Diesel,1968
189900,2023,8,Benzyna,1984
179900,2023,61977,Benzyna,1984
31000,2023,264000,Diesel,1968
61900,2023,100500,Diesel,1598
27000,2023,149000,Benzyna,1390
37500,2023,117000,Diesel,1598
48900,2023,280000,Diesel,1968
51900,2023,110200,Diesel,1968
117900,2023,84260,Benzyna,1984
70000,2023,258000,Benzyna,1798
42300,2023,235321,Benzyna,1798
87000,2023,92000,Benzyna,1395
22900,2023,259989,Benzyna,1390
47000,2023,186600,Benzyna,1390
59400,2023,85000,Benzyna,1395
39899,2023,179588,Diesel,1968
7500,2023,387259,Diesel,1896
112000,2023,67000,Benzyna,1984
162000,2023,53000,Diesel,1968
8900,2023,155000,Benzyna,1198
17800,2023,216000,Diesel,1896
71900,2023,80000,Diesel,1598
125000,2023,62000,Benzyna,1984
7500,2023,216000,Benzyna,1390
9800,2023,287560,Diesel,1896
34900,2023,211500,Diesel,1598
60900,2023,129000,Diesel,1598
129800,2023,77000,Benzyna,1984
111930,2023,202000,Diesel,1968
20000,2023,279000,Diesel,1598
43500,2023,209000,Benzyna,1395
22900,2023,297021,Diesel,1598
49900,2023,182871,Diesel,1968
18500,2023,180000,Benzyna,1390
53700,2023,218000,Diesel,1968
5990,2023,275000,Benzyna,1781
11900,2023,393000,Diesel,1968
